37807676787;54
29261503934;52
4336988455;82
2748519701;72
75530910220;83
3244313094;12
73180750120;86
43321046091;70
48828203153;60
6127043433;10
1543066143;83
4336988455;82
2590303173;85
5185042125;60
2742007164;86
7607729402;88
53539664572;60
615665357;83
9956979813;65
25041676879;63
16763376790;72
5723745697;83
8316248921;98
2108554017;32
34345880866;85
47865522835;25
34693984884;81
2105603980;66
97879614249;84
10799866857;68
9119520719;80
12947217713;56
4168067670;76
9660568924;42
8313559993;44
68520611249;78
1591790336;84
6643229561;46
3225669750;72
70433127600;68
9552285909;75
6462712104;34
89792424172;77
70075531410;77
35886237879;85
35498474830;88
56340338534;72
7923166730;80
22389579876;82
16734038831;75
13891875860;75
13503078746;75
3600013432;75
9238734909;75
35397605808;87
102870780;72
37700081115;66
37506496852;88
4460500086;88
11627941606;88
13367573450;88
12083452496;88
29993924865;82
4911736526;85
13713919712;85
6319279133;85
5004204080;85
14647525759;85
48327008803;85
49283146115;85
30125678878;71
37615853818;71
28967630824;71
33036099859;85
5635458602;82
5646956536;85
50355237806;43
51060518864;67
14548608710;87
2339141109;16
36381336803;34
54414422809;23
57325910100;70
5994380709;86
58957499253;77
